County Name,Water Body Name,Advisory Level,Incident Updated On,Bloom Determined By,BloomLastVerifiedOn,Description,Water Body Manager_Clean,Rec Land Manager_Clean,County Name,Has Contact With Water,Incident Information,Is Incident Resoloved,First Report,Water Body Name,Rec Land Manager,Regional Water Board,TypeofSign,Water Body Manager,Water Body Type,DetailStaticText,Latitude1,Longitude1
Alameda,Lake Anza,Caution,7/30/2021,Both,7/27/2021,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.","East Bay Regional Park District, 1-888-327-2757","East Bay Regional Park District, 1-888-327-2757",Alameda,FALSE,"East Bay Regional Park District conducts routine cyanobacteria bloom monitoring at this lake or shoreline location. This lake is currently closed to swimming due to Shelter in Place mandate. For more info, go to: https://www.ebparks.org/about/stewardship/water/cyanobacteria_(blue_green_algae)_updates.htm
The 2021 routine monitoring results are provided below:
------------------------------------------------------------------------------
On 7/27/21 and 7/28/21, adjustments were made to the Hypolimnetic Oxygenation System to better direct oxygen flow into the deepest regions of the lake. Unfortunately, the system ran out of oxygen before the effectiveness of those adjustments could be tested. 7/28/21, very fine specks and small clumps of Dolichospermum-type, Woronichinia-type, and Aphanizomenon-type cyanobacteria were observed suspended throughout the water column throughout the lake, with the heaviest accumulations observed at the dam/spillway.

On 7/19/21, very fine specks of Microcystis-type, Dolichospermum-type, and Woronichinia-type cyanobacteria were observed suspended throughout the water column at the swim beach, with the heaviest accumulations observed along the swim ropes. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 1.63 ppb.

On 7/15/21, like last week, very fine specks of Microcystis-type and Woronichinia-type cyanobacteria were observed suspended throughout the water column at the swim beach and throughout the entire lake.

On 7/7/21, very fine specks of Microcystis-type and Woronichinia-type cyanobacteria were observed suspended throughout the water column at the swim beach, dam, and throughout the lake. A sample from the dam was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect.

On 6/29/21, very small specks of Microcystis-type and Woronichinia-type cyanobacteria were observed suspended throughout the water column at the swim beach and throughout the lake. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 1.06 ppb.

On 6/21/21, clumps and clusters of Aphanizomenon-type and Woronichinia-type cyanobacteria were observed suspended throughout the water column at the swim beach. A sample was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect.

On 6/14/21, large accumulations of Aphanizomenon-type and Woronichinia-type cyanobacteria with some Dolichospermum-type cyanobacteria were observed accumulating on the swim ropes around the swim beach. High biomass of the same cyanobacteria species were observed throughout the entire lake, with specks and clumps densely suspended in the water column. A sample from the swim ropes was tested for Microcystins, using Abraxis CAAS, resulting in 0.14 ppb. Swimming is still not allowed.

Results from last week downgraded Lake Anza to a Caution on 6/7/21. On 6/8/21, specks and clumps of Aphanizomenon-type, Dolichospermum-type, Woronichinia-type, and Microcystis-type cyanobacteria were observed suspended throughout the lake. A sample from the swim beach was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect.

On 6/2/21, specks and clumps of Aphanizomenon-type, Dolichospermum-type, Woronichinia-type, and Microcystis-type cyanobacteria were observed suspended throughout the water column at the dam and swim beach. Large accumulations of the same cyanobacteria types were observed accumulating along the swim rope lines and getting trapped in the weeds growing in the shallows. Some patches of blue-green discoloration were also observed at both locations. A sample from the swim beach was tested for Microcystins, using Abraxis Strip Test Kits, resulting in a non-detect. On 6/3/21 specks and clumps of the same cyanobacteria types were observed throughout the entire lake.

On 5/26/21, specks and clumps of Aphanizomenon-type, Dolichospermum-type, and Microcystis-type cyanobacteria were observed suspended throughout the water column at throughout the entire lake. Large accumulations of the same cyanobacteria types were observed accumulating along the swim rope lines. A sample from the swim beach was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect. On 5/27/21, specks of Dolichospermum-type and Microcystis-type cyanobacteria were observed suspended in the water column at the swim beach. Samples were tested for Anatoxin-A and Cylindrospermopsin, using Abraxis Strip Test Kits, resulting in non-detects. 

On 5/17/21, specks and clumps of Aphanizomenon-type, Dolichospermum-type, and Microcystis-type cyanobacteria were observed suspended throughout the water column at the swim beach. Large accumulations of the same cyanobacteria types with some turquoise clumps were observed accumulating in lines along the shore of the swim beach. A sample from the swim beach was tested for Microcystins, using Abraxis CAAS, resulting in 0.34 ppb.",FALSE,1/4/2021,Lake Anza,"East Bay Regional Park District, 1-888-327-2757",Region 2 - San Francisco Bay,Caution,"East Bay Regional Park District, 1-888-327-2757",,Detail,38,-122
Alameda,Lake Chabot (Alameda Co),Caution,7/30/2021,Both,7/30/2021,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",NA,"East Bay Regional Park District, 1-888-327-2757",Alameda,FALSE,"East Bay Regional Park District conducts routine cyanobacteria bloom monitoring at this lake or shoreline location. This lake is currently closed to swimming due to Shelter in Place mandate. For more info, go to: https://www.ebparks.org/about/stewardship/water/cyanobacteria_(blue_green_algae)_updates.htm

The 2021 routine monitoring results are provided below:
------------------------------------------------------------------------------
On 7/30/21, very fine specks of Dolichospermum-type cyanobacteria were observed suspended throughout the water column at the marina.

On 7/23/21, very fine specks of Dolichospermum-type cyanobacteria were observed densely suspended throughout the lake, with heavy scum accumulations at Honker Cove and the Marina.

On 7/13/21, small specks of Dolichospermum-type cyanobacteria were observed suspended throughout the water column at the marina. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 0.19 ppb.

On 6/28/21, specks and small clumps of Aphanizomenon-type and Dolichospermum-type cyanobacteria were observed at the marina. A sample was tested for Microcystins, using Abraxis CAAS, resulting a non-detect.

On 6/14/21, specks and clumps of mostly Aphanizomenon-type and some Dolichospermum-type cyanobacteria were observed suspended throughout the water column at the Marina. A sample from the Marina was tested for Microcystins, using Abraxis CAAS, resulting in 0.19 ppb. Swimming is never allowed.

On 6/9/21, specks and clumps of Aphanizomenon-type, Woronichinia-type and Oscillatoria-type cyanobacteria were observed suspended throughout the water column at the Marina. A sample from the Marina was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect.

On 5/24/21, specks and clumps of Aphanizomenon-type, Woronichinia-type, and Microcystis-type cyanobacteria were observed suspended throughout the water column at the marina. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 1.21 ppb. 

On 5/17/21, specks and clumps of Aphanizomenon-type and Woronichinia-type cyanobacteria were observed suspended throughout the water column at the marina. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 1.25 ppb

On 5/11/21, specks and large clumps of Aphanizomenon-type, Dolichospermum-type, and Woronichinia-type cyanobacteria were observed suspended throughout the water column at the marina. A sample was tested for Cylindrospermopsin, using Abraxis Test Strip Kit, resulting in a non-detect. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 46.57 ppb.",FALSE,1/4/2021,Lake Chabot (Alameda Co),"East Bay Regional Park District, 1-888-327-2757",Region 2 - San Francisco Bay,Caution,,,Detail,38,-122
Alameda,Lake Del Valle,Caution,7/30/2021,Both,7/27/2021,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",NA,"East Bay Regional Park District, 1-888-327-2757",Alameda,FALSE,"East Bay Regional Park District conducts routine cyanobacteria bloom monitoring at this lake or shoreline location. For more info, go to: https://www.ebparks.org/about/stewardship/water/cyanobacteria_(blue_green_algae)_updates.htm

The 2021 routine monitoring results are provided below:
------------------------------------------------------------------------------
On 7/27/21, very few small specks of Microcystis-type cyanobacteria were observed suspended in the water column at the boat launch. No visible cyanobacteria were observed at the East and West swim beaches. A sample from the boat launch was tested for Microcystins, using Abraxis Strip Test Kit, resulting in a non-detect.

On 7/20/21, small specks of Microcystis-type cyanobacteria were observed suspended in the water column at the marina. Oscillatoria-type cyanobacteria were observed in a sheen accumulating on the swim ropes on the south end of the west beach. A sample from the marina was tested for Microcystins, using Abraxis CAAS, resulting in 0.82 ppb. Samples from the raw intake of the drinking water plant and treated water from Building 13 were also tested, using Abraxis CAAS, both resulting in a non-detects.

On 7/12/21, small specks of Oscillatoria-type cyanobacteria were observed suspended in the water column at the East and West beaches. No visible cyanobacteria were observed at the boat launch nor at Hetch Hetchy Group Camp. Samples from the boat launch, East beach, and West beach were tested for Microcystins, using Abraxis Strip Test Kits, resulting in non-detects. 

On 7/6/21, small specks of Microcystis-type cyanobacteria were observed suspended throughout the water column at the boat launch. Oscillatoria-type or Limnoraphis-type cyanobacteria were observed in scum accumulating on the swim ropes on the south end of the west beach. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in 17.71 ppb. On 7/9/21, specks of Microcystis-type and Dolichospermum-type cyanobacteria were observed at the Hetch Hetchy Group Camp and the boat launch. No visible cyanobacteria were observed at the East beach. Few specks of Oscillatoria-type cyanobacteria were observed in scum accumulating on the swim ropes on the southern end of the West beach. A sample from the Hetch Hetchy Group Camp was tested for Microcystins, using Abraxis Strip Tests, resulting in 5 ppb. Samples from the boat launch, East beach, and West beach were tested for Microcystins, using Abraxis Strip Test Kits, all resulting in non-detects. Due to the mixed toxin test results, Del Valle will remain at a Caution pending re-evaluation next week.

On 6/28/21, small specks of cyanobacteria were observed at the swim beaches, but denser small specks of Dolichospermum-type cyanobacteria were observed suspended throughout the water column at the boat launch. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in a 3.78 ppb.

On 6/22/21, small clumps of Dolichospermum-type and Microcystis-type cyanobacteria were observed at the boat launch. More clumps of Dolichospermum-type cyanobacteria were observed at the marina. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect. Samples from the raw drinking water intake to the drinking water treatment plant and treated water from building 13 were also collected. We split the samples and sent samples to Bend Genetics lab for analysis of four cyanotoxins, and we tested both sites for Microcystins, using Abraxis CAAS, resulting in a non-detects.",FALSE,1/4/2021,Lake Del Valle,"East Bay Regional Park District, 1-888-327-2757",Region 2 - San Francisco Bay,Caution,,,Detail,38,-122
Alameda,Lake Del Valle,Last verified >30 days ago,7/27/2021,Both,5/17/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,CA Dept. of Water Resources (916) 653-8743,NA,Alameda,FALSE,"California Department of Water Resources conducts cyanobacteria monitoring at Lake Del Valle outlet from April to October (season is extended if cyanotoxins are present). Monitoring results for this location are provided below. DWR Public Affairs Office (916) 653-8743.
-------------------------------------------------------------

5/25/2021: Water sample collected at the outlet on 5/17.Testing resulted in non-detect for microcystins and no visible cyanobacteria. Caution advisory due to other monitoring activity in the lake. 
Note: Monitoring conducted by the Regional Parks District at recreational access sites resulted in lake-wide caution advisory.",FALSE,5/14/2021,Lake Del Valle,,Region 2 - San Francisco Bay,Caution,CA Dept. of Water Resources (916) 653-8743,,Detail,38,-122
Alameda,Lake Temescal,None,7/30/2021,Both,7/26/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,NA,"East Bay Regional Park District, 1-888-327-2757",Alameda,FALSE,"East Bay Regional Park District conducts routine cyanobacteria bloom monitoring at this lake or shoreline location. This lake is currently closed to swimming due to Shelter in Place mandate. For more info, go to: https://www.ebparks.org/about/stewardship/water/cyanobacteria_(blue_green_algae)_updates.htm

The 2021 routine monitoring results are provided below:
------------------------------------------------------------------------------
On 7/26/21, few clusters of Oscillatoria-type or Limnoraphis-type cyanobacteria were observed suspended in the water column at the swim beach. The same cyanobacteria type(s) were observed in clusters and surface level swirls at the south end of the lake. The same cyanobacteria type(s) were also observed Northwest dock, where the water was visibly turbid.

On 7/19/21, specks of Oscillatoria-type cyanobacteria were observed suspended in the water column at the swim beach. A sample from the swim beach was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect. On 7/21/21, small clumps and specks of Oscillatoria-type cyanobacteria were observed accumulating around and suspended in the water column at the Northwest dock.

On 7/12/21, very few tiny specks of Oscillatoria-type cyanobacteria were observed suspended in the water column at the swim beach and south end. A sample from the south end was tested for Microcystins, using Abraxis CAAS, resulting in 0.04 ppb. Advisory signage has been taken down around the lake.

On 7/6/21, very few tiny specks of Dolichospermum-type and Oscillatoria-type cyanobacteria were observed suspended in the water column at the swim beach and south end. A sample from the swim beach was tested for Microcystins, using Abraxis CAAS, resulting in 0.03 ppb.

On 6/28/21 and 6/29/21, the lake was treated with Pak 27 and Alum to reduce cyanobacteria, algae, and the nutrients they require for growth. Specks of Oscillatoria-type, Dolichospermum-type, Microcystis-type, and Woronichinia-type cyanobacteria were observed during both days of treatment. On 6/30/21, no visible cyanobacteria were observed at the swim beach, ADA dock, south end, or Northwest Dock. A sample from the ADA dock was tested for Microcystins, using Abraxis CAAS, resulting in 0.04 ppb.

On 6/23/21, very fine specks of Aphanizomenon-type and Dolichospermum-type cyanobacteria were observed suspended throughout the water column at the Northwest dock. No visible cyanobacteria were observed at the swim beach. A sample from the Northwest dock was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect. Next Monday and Tuesday, we plan on treating the lake with Pak 27 to reduce the cyanobacteria and then Alum to reduce the phosphorus that feeds the cyanobacteria.

As a reminder, on 6/10/21 and 6/11/21 an aquatic harvester was deployed to remove filamentous weeds throughout the lake. Despite its efforts, there are still dense accumulations of filamentous algae and sago pond weed throughout the lake, worse on the South end of the lake. On 6/15/21, very fine specks of Microcystis-type and Aphanizomenon-type cyanobacteria were observed suspended throughout the water column at the swim beach and at the south end of the lake. A sample from the swim beach was tested for Microcystins, using Abraxis CAAS, resulting in 0.3 ppb. Next week, we plan on treating the lake with either Pak 27 or GreenClean to reduce the cyanobacteria and then treated with Phoslock to reduce phosphorus which is a nutrient that feeds the cyanobacteria. Swimming is still not allowed due to E. coli issues.

On 6/10/21, an aquatic harvester started removing filamentous weeds (primarily sago pond weed). The Harvester is working again on 6/11/21. Next week, we plan on treating the lake with either Pak 27 or GreenClean to reduce the cyanobacteria and then Phoslock to reduce the phosphorus that feeds the cyanobacteria.

On 6/7/21, very fine specks of Microcystis-type and Aphanizomenon-type cyanobacteria were observed suspended throughout the water column at the swim beach and at the south end of the lake. At both locations, some clumps of cyanobacteria were observed stuck in dense growths of filamentous algae and weeds. A sample from the swim beach was tested for Microcystins, using Abraxis CAAS, resulting in 0.43 ppb. 

On 6/1/21, specks and clumps of Microcystis-type and Aphanizomenon-type cyanobacteria were observed suspended throughout the water column at the swim beach and at the south end of the lake. At both locations, some clumps of cyanobacteria were observed stuck in dense growths of filamentous algae and weeds.

On 5/24/21, specks and clumps of Aphanizomenon-type cyanobacteria were observed densely suspended throughout the water column at the swim beach, the ADA Dock, and at the south end of the lake. At all locations, clumps of cyanobacteria were stuck in dense growths of filamentous algae. A sample from the swim beach was tested for?Microcystins, using Abraxis CAAS, resulting in 0.06 ppb.",FALSE,1/4/2021,Lake Temescal,"East Bay Regional Park District, 1-888-327-2757",Region 2 - San Francisco Bay,None,,,Detail,38,-122
Alameda,Quarry Lakes,None,7/30/2021,Both,7/26/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,NA,"East Bay Regional Park District, 1-888-327-2757",Alameda,FALSE,"East Bay Regional Park District conducts routine cyanobacteria bloom monitoring at this lake or shoreline location. This lake is currently closed to swimming due to Shelter in Place mandate. For more info, go to: https://www.ebparks.org/about/stewardship/water/cyanobacteria_(blue_green_algae)_updates.htm

The 2021 routine monitoring results are provided below:
------------------------------------------------------------------------------
On 7/26/21, tiny specks of Microcystis-type and Aphanizomenon-type cyanobacteria were observed at the boat launch. Very few specks of cyanobacteria were observed at the swim beach. A sample from the boat launch was tested for Microcystins, using Abraxis Strip Test Kit, resulting in a non-detect.

On 7/20/21, very few specks of Microcystis-type cyanobacteria were observed at the boat launch. No visible cyanobacteria were observed at the swim beach or Rainbow lake. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect.

On 7/12/21, few specks of Aphanizomenon-type and Microcystis-type cyanobacteria were observed at the boat launch. No visible cyanobacteria were observed at the swim beach. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in a 0.3 ppb. Quarry Lakes is planned to open for swimming this Saturday, 7/17. 

On 7/6/21, very fine specks of Aphanizomenon-type and Microcystis-type cyanobacteria were observed at the boat launch. No visible cyanobacteria were observed at the swim beach. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect.

On 6/28/21, few small specks of cyanobacteria were observed at the swim beach. Very few tiny specks of Microcystis-type cyanobacteria were observed suspended in the water column at the boat launch. No visible cyanobacteria were observed at Logo Los Osos, Rainbow, Grau Pond, or Shinn Pond. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in 0.31 ppb. Advisory signage has been removed from around the lake but swim area is still not open.

On 6/22/21, few tiny specks of Microcystis-type cyanobacteria were observed suspended in the water column at the boat launch. A sample from was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect. On 6/24/21, very few small moss-like clumps of Planktothrix-type cyanobacteria were observed suspended in the water column at the south end of Horseshoe Lake. A sample was tested for Microcystins, using Abraxis Strip Test Kit, resulting in a non-detect.

On 6/14/21, very few specks of Dolichospermum-type cyanobacteria were observed suspended in the water column at the boat launch. No visible cyanobacteria were observed at the swim beach or Grau Pond. Specks of Oscillatoria-type cyanobacteria were observed suspended throughout the water column at Shinn Pond. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect. Advisory signage has been updated from Danger to Caution, but swimming is still not allowed.

On 6/9/21, small specks of Microcystis-type cyanobacteria were observed suspended in the water column at the boat launch. No visible cyanobacteria were observed at Lago Las Osos, Rainbow, Shinn or Grau Pond. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in 3.68 ppb.

On 6/1/21, small specks of Microcystis-type and Aphanizomenon-type cyanobacteria were observed suspended throughout the water column at the boat launch. No visible cyanobacteria were observed at Grau Pond. Very few specks of Dolichospermum-type, Aphanizomenon-type, and Microcystis-type cyanobacteria were observed at Shinn Pond. A sample from the boat launch was tested for Microcystins, using Abraxis Strip Test Kits, resulting in 1.00 ppb.

On 5/25/21, small specks of Microcystin-type cyanobacteria were observed suspended throughout the water column at the boat launch. No visible cyanobacteria were observed at Shinn Pond. Very few specks of Dolichospermum-type and Microcystis-type cyanobacteria were observed at Grau Pond. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in 9.00 ppb. 

On 5/18/21, few specks of Microcystin-type cyanobacteria were observed suspended throughout the water column at the boat launch. No visible cyanobacteria were observed at the swim beach or Grau Pond. Very fine specks of Dolichospermum-type and Oscillatoria-type cyanobacteria were observed at Shinn Pond. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in 6.04 ppb.",FALSE,1/4/2021,Quarry Lakes,"East Bay Regional Park District, 1-888-327-2757",Region 2 - San Francisco Bay,None,,,Detail,38,-122
Alameda,"Shadow Cliffs Arroyo, dog access area",Caution,7/30/2021,Both,7/27/2021,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",NA,"East Bay Regional Park District, 1-888-327-2757",Alameda,FALSE,"East Bay Regional Park District conducts routine cyanobacteria bloom monitoring at this lake or shoreline location. For more info, go to: https://www.ebparks.org/about/stewardship/water/cyanobacteria_(blue_green_algae)_updates.htm

The 2021 routine monitoring results are provided below:
------------------------------------------------------------------------------
On 7/27/21, no visible cyanobacteria were observed in the water column at the popular Arroyo dog access area. A sample was tested for Microcystins, using Abraxis Strip Test Kit, resulting in a non-detect. Advisory signage has been taken down around the area.

On 7/20/21, no visible cyanobacteria were observed in the water column at the popular Arroyo dog access area. A sample was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect.

On 7/13/21, two small dark green globs of Spirulina-type cyanobacteria were observed along the shoreline at the popular Arroyo dog access area. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 0.02 ppb. 

On 7/6/21, several dark green globs of Spirulina-type, Oscillatoria-type, and Planktothrix-type cyanobacteria were observed in the water column at the popular Arroyo dog access area. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 0.91 ppb.

On 6/28/21, small specks of cyanobacteria were observed at the swim beaches, but denser small specks of Dolichospermum-type cyanobacteria were observed suspended throughout the water column at the boat launch. A sample from the boat launch was tested for Microcystins, using Abraxis CAAS, resulting in a 3.78 ppb.

On 6/22/21, large benthic globs of Spirulina-type, Oscillatoria-type, and Planktothrix-type cyanobacteria were observed in the water column at the popular Arroyo dog access area. A sample was tested for Microcystins, using Abraxis Strip Test Kits, resulting in 5 ppb. Caution advisory signage has been put up near the dog access area in the Arroyo.

On 6/15/21, no visible cyanobacteria were observed at the boat launch. Benthic globs of Spirulina-type cyanobacteria were observed in the water column at the popular Arroyo dog access area. A sample from the Arroyo was tested for Microcystins, using Abraxis CAAS, resulting in a 0.28 ppb. Swimming is not allowed due to low water conditions.

On 6/2/21, no visible cyanobacteria were observed at the boat launch. Very few tiny specks of Aphanizomenon-type cyanobacteria were observed suspended in the water column at the popular Arroyo dog access area.

On 5/24/21, no visible cyanobacteria were observed at the boat launch. Very few tiny specks of Aphanizomenon-type cyanobacteria were observed suspended in the water column at the popular Arroyo dog access area. Samples from the boat launch and the Arroyo dog access area were tested for Microcystins, using Abraxis CAAS, resulting in non-detects.

On 5/18/21, no visible cyanobacteria were observed at the boat launch. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 0.08 ppb.

On 5/11/21, no visible cyanobacteria were observed at the popular Arroyo dog area. A sample from Arroyo was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect.",FALSE,1/4/2021,"Shadow Cliffs Arroyo, dog access area","East Bay Regional Park District, 1-888-327-2757",Region 2 - San Francisco Bay,Caution,,,Detail,38,-122
Alameda,Shadow Cliffs Reservoir,None,7/30/2021,Observation,7/27/2021,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,"East Bay Regional Park District, 1-888-327-2757","East Bay Regional Park District, 1-888-327-2757",Alameda,FALSE,"East Bay Regional Park District conducts routine cyanobacteria bloom monitoring at this lake or shoreline location. For more info, go to: https://www.ebparks.org/about/stewardship/water/cyanobacteria_(blue_green_algae)_updates.htm

The 2021 routine monitoring results are provided below:
------------------------------------------------------------------------------
On 7/27/21, no visible cyanobacteria were observed at the boat launch.

On 7/20/21, no visible cyanobacteria were observed at the boat launch.

On 7/13/21, no visible cyanobacteria were observed at the boat launch. A sample was tested for Microcystins, using Abraxis CAAS, resulting in a non-detect. On 7/14/21, very few specks of Microcystis-type and Oscillatoria-type cyanobacteria were observed in the middle of the lake

On 7/6/21, no visible cyanobacteria were observed at the boat launch.

On 6/28/21, two small strands of Aphanizomenon-type cyanobacteria were observed at the boat launch.

On 6/22/21, no visible cyanobacteria were observed at the boat launch.

On 6/7/21, no visible cyanobacteria were observed at the boat launch. Very few tiny specks of Oscillatoria-type cyanobacteria were observed suspended in the water column at the popular Arroyo dog access area. A sample from the Arroyo was tested for Microcystins, using Abraxis CAAS, resulting in a 0.05 ppb.

On 6/2/21, no visible cyanobacteria were observed at the boat launch. Very few tiny specks of Aphanizomenon-type cyanobacteria were observed suspended in the water column at the popular Arroyo dog access area.

On 5/24/21, no visible cyanobacteria were observed at the boat launch. Very few tiny specks of Aphanizomenon-type cyanobacteria were observed suspended in the water column at the popular Arroyo dog access area. Samples from the boat launch and the Arroyo dog access area were tested for Microcystins, using Abraxis CAAS, resulting in non-detects.",FALSE,1/7/2021,Shadow Cliffs Reservoir,"East Bay Regional Park District, 1-888-327-2757",Region 2 - San Francisco Bay,None,"East Bay Regional Park District, 1-888-327-2757",,Detail,38,-122
Alpine,Charity Valley Creek next to trail,Last verified >30 days ago,7/16/2021,analytical,7/6/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,NA,NA,Alpine,FALSE,"The Water Boards is performing an ambient monitoring study in coordination with the SWAMP Bioassessment Reference Condition Monitoring Program to collect toxic algal samples in wadeable streams. In 2021, samples will be collected twice at each monitoring station in areas with absent or minimal human disturbance in coordination with California Department of Fish and Wildlife. This study is to better characterize toxic algal mat presence throughout the state of California. The lab results and recommendations for this site is below.
………………………………………………………………………………………………….
7/16/2021: Samples were collected on 7/6 for lab analysis. Results included analtoxin-a at 3.22 ng/g dry weight and microcystins at 23.65 ng/g dry weight. Because algal mats are presetn, a toxic algae alert is recommended.",FALSE,7/6/2021,Charity Valley Creek next to trail,,Region 6 - Lahontan,caution,,creek,Detail,39,-120
Alpine,Heenan Lake,Last verified >30 days ago,6/28/2021,Both,6/28/2021,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,California Department of Fish and Wildlife,Alpine,FALSE,"6/21/21: Heenan was samples as part of the Independence day pre-holiday assessment. A very low amount of the cyanobacteria species Dolichospermum was observed under microscopic id. qPCR did non-detect any genes that have the potential to produce toxins. No advisory is recommended.

5/17/21- Heenan lake was sampled as part of the Memorial Day pre-holiday assessment. No cayanobacteria were observed in the sample.",TRUE,5/17/2021,Heenan Lake,California Department of Fish and Wildlife,Region 6 - Lahontan,None,California Department of Fish and Wildlife,Lake,Detail,39,-120
