FID,field_number,health_category,category_confidence,date,tsn,organization,geom
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c23,GFS-28,Malnutrition,Diagnosed,2005-06-03,180636,TMMC,POINT (-122.414 37.279)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c22,GFS-40,Malnutrition,Diagnosed,2009-06-20,180636,TMMC,POINT (-123.790686 39.510464)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c21,GFS-36,Malnutrition,Diagnosed,2008-07-11,180636,TMMC,POINT (-122.003 36.953)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c20,GFS-34,Malnutrition,Diagnosed,2008-02-24,180636,TMMC,POINT (-121.815 36.689)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c1f,GFS-39,Malnutrition,Diagnosed,2009-06-03,180636,TMMC,POINT (-122.54092 37.829639)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c1e,GFS-27,Malnutrition,Diagnosed,2005-04-27,180636,TMMC,POINT (-122.448 37.434)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c1d,GFS-27,Infectious Disease - non-specific,Diagnosed,2005-04-27,180636,TMMC,POINT (-122.448 37.434)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c1c,GFS-41,Malnutrition,Diagnosed,2010-05-24,180636,TMMC,POINT (-122.513 37.778)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c1b,GFS-41,Infectious Disease - non-specific,Diagnosed,2010-05-24,180636,TMMC,POINT (-122.513 37.778)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c1a,GFS-36,Infectious Disease - non-specific,Diagnosed,2008-07-11,180636,TMMC,POINT (-122.003 36.953)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c19,GFS-41,Other,Diagnosed,2010-05-24,180636,TMMC,POINT (-122.513 37.778)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c18,GFS-29,Malnutrition,Suspected,2005-06-22,180636,TMMC,POINT (-122.454 37.466)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c17,GFS-34,Infectious Disease - non-specific,Diagnosed,2008-02-24,180636,TMMC,POINT (-121.815 36.689)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c16,GFS-35,Other,Diagnosed,2008-06-10,180636,TMMC,POINT (-122.122 36.96)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c15,2006-05,Unknown,Unknown,2006-05-30,180636,SBMNH,POINT (-119.6334 34.417)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c14,GFS-28,Other,Diagnosed,2005-06-03,180636,TMMC,POINT (-122.414 37.279)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c13,2008-23,Unknown,Unknown,2008-06-21,180524,SBMNH,POINT (-119.50807 34.3841)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c12,JWG0105,Trauma - human interaction,Diagnosed,1988-08-01,180524,SWFSC,POINT (-117.3 33.033333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c11,2007-07,Biotoxin,Unknown,2007-04-17,180524,SBMNH,POINT (-119.27793 34.26668)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c10,C-315,Trauma - human interaction,Diagnosed,2009-10-09,180528,TMMC,POINT (-121.836 36.249)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c0f,2007-25,Trauma - other,Unknown,2007-11-30,180528,SBMNH,POINT (-120.3715 34.0648)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c0e,HSUVM2777,Trauma - other,Diagnosed,2009-10-19,180528,TMMC,POINT (-123.814 39.446)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c0d,C-336,Trauma - human interaction,Diagnosed,2010-08-25,180528,TMMC,POINT (-120.44693 34.037469)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c0c,C-337,Trauma - human interaction,Diagnosed,2010-10-02,180528,TMMC,POINT (-122.410583 37.227088)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c0b,2007-20,Trauma - other,Unknown,2007-09-22,180528,SBMNH,POINT (-119.4669 34.1623)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c0a,2007-19,Trauma - other,Unknown,2007-09-14,180528,SBMNH,POINT (-119.41 34.3372)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c09,KZP0030,Infectious Disease - non-specific,Suspected,1993-11-15,180527,SWFSC,POINT (-117.266666 32.833333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c08,2010-06,Unknown,Unknown,2010-03-15,180527,SBMNH,POINT (-119.74616 33.96343)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c07,KXD0209,Trauma - human interaction,Diagnosed,2011-11-19,180527,SWFSC,POINT (-117.25 32.683333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c06,SWC-Bp-03167,Infectious Disease - non-specific,Diagnosed,2003-11-20,180527,SWFSC,POINT (-118.1 33.733333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c05,2005-11,Unknown,Unknown,2005-07-19,180527,SBMNH,POINT (-119.4133 34.3391)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c04,C-334,Trauma - human interaction,Suspected,2010-09-16,180527,TMMC,POINT (-122.316542 37.796715)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c03,C-335,Unknown,Suspected,2010-09-19,180527,TMMC,POINT (-122.517 37.759)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c02,NFS-178,Malnutrition,Diagnosed,2006-11-02,180627,TMMC,POINT (-120.884 35.42)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c01,NFS-198,Malnutrition,Diagnosed,2006-11-30,180627,TMMC,POINT (-122.449 37.439)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7c00,NFS-240,Malnutrition,Suspected,2009-11-20,180627,TMMC,POINT (-120.629 35.047)
